card_id,date_key,product_key,country_card_key,country_merchant_key,mcg_key,eligible_transactions,eligible_amount,theoretical_cashback,final_cashback,savings_due_to_cap,cap_status
20342450,202405,2,4,11,1,1,62.1,4.35,2.24,2.11,Con Tope Aplicado
95701203,202405,1,4,3,6,1,92.7,6.49,6.49,0.0,Dentro del Tope
15729888,202405,2,4,5,1,1,33.5,2.35,1.16,1.18,Con Tope Aplicado
17069722,202405,3,4,1,5,1,188.3,13.18,3.05,10.13,Con Tope Aplicado
56729537,202405,2,4,1,1,1,13.9,0.97,0.44,0.53,Con Tope Aplicado
37356071,202405,2,4,5,3,1,142.8,10.0,10.0,0.0,Dentro del Tope
93962035,202405,4,4,17,3,1,418.8,29.32,3.57,25.74,Con Tope Aplicado
31983451,202405,3,4,1,2,1,187.2,13.1,3.82,9.28,Con Tope Aplicado
19589266,202405,1,4,1,3,1,83.6,5.85,5.85,0.0,Dentro del Tope
12608133,202405,2,4,11,3,1,46.1,3.23,3.23,0.0,Dentro del Tope
26915416,202405,1,4,5,2,1,93.5,6.55,6.55,0.0,Dentro del Tope
93642472,202405,1,4,1,8,1,43.7,3.06,3.06,0.0,Dentro del Tope
77657059,202405,3,4,11,5,1,178.4,12.49,3.93,8.56,Con Tope Aplicado
53477767,202405,2,4,11,2,1,74.2,5.19,5.19,0.0,Dentro del Tope
19947644,202405,4,4,3,1,1,645.7,45.2,8.28,36.92,Con Tope Aplicado
99913287,202405,1,4,3,2,1,127.8,8.95,8.95,0.0,Dentro del Tope
81312355,202405,3,4,7,1,1,342.9,24.0,6.36,17.65,Con Tope Aplicado
53050188,202405,1,4,3,4,1,47.4,3.32,3.32,0.0,Dentro del Tope
45705999,202405,2,4,3,2,1,45.5,3.19,2.44,0.74,Con Tope Aplicado
90064372,202405,4,4,11,1,1,381.0,26.67,2.01,24.66,Con Tope Aplicado
74242750,202405,1,4,5,10,1,108.3,7.58,7.58,0.0,Dentro del Tope
78710305,202405,4,4,3,1,2,1618.1,113.27,10.18,103.09,Con Tope Aplicado
94667840,202405,2,4,11,3,1,204.4,14.31,5.98,8.32,Con Tope Aplicado
56710190,202405,1,4,3,3,2,71.4,5.0,5.0,0.0,Dentro del Tope
78710305,202405,4,4,5,1,2,2804.4,196.31,17.65,178.66,Con Tope Aplicado
49409490,202405,2,4,3,2,1,159.6,11.17,5.26,5.91,Con Tope Aplicado
85162587,202405,3,4,13,19,1,252.2,17.65,8.93,8.73,Con Tope Aplicado
31978719,202405,1,4,5,1,1,2.4,0.17,0.17,0.0,Dentro del Tope
35920917,202405,1,4,11,6,1,105.0,7.35,7.14,0.21,Con Tope Aplicado
15570296,202405,2,4,11,9,1,233.2,16.32,7.67,8.65,Con Tope Aplicado
27778084,202405,1,4,12,2,1,157.6,11.03,11.03,0.0,Dentro del Tope
39729892,202405,5,4,1,4,1,1482.5,103.78,17.01,86.77,Con Tope Aplicado
42887663,202405,1,4,11,4,1,105.9,7.41,6.93,0.49,Con Tope Aplicado
99570539,202405,3,4,11,10,1,168.5,11.8,4.04,7.76,Con Tope Aplicado
64883714,202405,1,4,1,3,1,74.7,5.23,5.23,0.0,Dentro del Tope
51098374,202405,2,4,7,11,1,534.9,37.44,21.32,16.12,Con Tope Aplicado
85828397,202405,1,4,5,6,1,36.5,2.56,1.99,0.56,Con Tope Aplicado
79268040,202405,3,4,6,12,1,268.1,18.77,4.96,13.81,Con Tope Aplicado
10546014,202405,1,4,14,2,1,114.4,8.01,5.96,2.05,Con Tope Aplicado
25777949,202405,2,4,3,9,1,191.9,13.43,5.85,7.58,Con Tope Aplicado
13117024,202405,1,4,5,6,1,98.6,6.9,3.58,3.33,Con Tope Aplicado
56169376,202405,2,4,10,1,1,42.1,2.95,2.3,0.65,Con Tope Aplicado
17316280,202405,1,4,10,1,1,137.5,9.63,9.12,0.5,Con Tope Aplicado
75754967,202405,2,4,7,3,1,92.4,6.47,2.37,4.1,Con Tope Aplicado
97108855,202405,2,4,16,1,1,183.6,12.85,8.42,4.43,Con Tope Aplicado
92567876,202405,1,4,1,4,1,86.8,6.08,3.84,2.24,Con Tope Aplicado
19374725,202405,4,4,10,4,1,344.2,24.09,2.01,22.08,Con Tope Aplicado
92026590,202405,2,4,1,4,2,405.9,28.41,9.46,18.96,Con Tope Aplicado
14196233,202405,5,4,8,10,1,4237.4,296.62,12.69,283.93,Con Tope Aplicado
86175926,202405,1,4,3,3,1,84.6,5.92,5.92,0.0,Dentro del Tope
51840237,202405,2,4,5,12,1,32.1,2.25,1.81,0.44,Con Tope Aplicado
30328021,202405,2,4,11,1,1,632.6,44.28,23.82,20.47,Con Tope Aplicado
47949779,202405,3,4,1,5,1,284.3,19.9,6.92,12.98,Con Tope Aplicado
14489740,202405,3,4,13,9,1,209.1,14.64,7.34,7.3,Con Tope Aplicado
10796698,202405,5,4,1,2,1,2908.8,203.62,18.73,184.88,Con Tope Aplicado
50971013,202405,3,4,3,1,1,597.8,41.85,15.21,26.63,Con Tope Aplicado
65398266,202405,1,4,11,4,3,431.4,30.2,19.72,10.48,Con Tope Aplicado
47939760,202405,1,4,5,11,1,39.1,2.74,2.17,0.56,Con Tope Aplicado
28306209,202405,3,4,15,2,1,221.9,15.53,5.38,10.15,Con Tope Aplicado
20022936,202405,2,4,11,5,1,152.5,10.68,10.58,0.1,Con Tope Aplicado
78802287,202405,4,4,15,1,1,118.8,8.32,1.98,6.34,Con Tope Aplicado
53747450,202405,5,4,3,1,2,2213.6,154.95,11.87,143.08,Con Tope Aplicado
28505202,202405,1,4,3,4,1,72.2,5.05,5.05,0.0,Dentro del Tope
94832632,202405,2,4,1,2,2,495.9,34.71,9.34,25.38,Con Tope Aplicado
38434149,202405,1,4,1,1,1,102.5,7.18,7.03,0.15,Con Tope Aplicado
16616691,202405,3,4,7,1,1,129.4,9.06,2.41,6.65,Con Tope Aplicado
17286068,202405,2,4,15,1,1,122.9,8.6,5.93,2.67,Con Tope Aplicado
95315860,202405,2,4,15,7,1,155.2,10.86,5.71,5.16,Con Tope Aplicado
37277305,202405,2,4,5,5,1,331.7,23.22,23.22,0.0,Dentro del Tope
55244549,202405,2,4,3,1,1,136.9,9.58,8.49,1.09,Con Tope Aplicado
75194892,202405,3,4,11,6,1,526.3,36.84,19.62,17.22,Con Tope Aplicado
82774078,202405,2,4,1,2,1,259.8,18.19,15.27,2.92,Con Tope Aplicado
67648746,202405,3,4,3,5,2,251.8,17.63,7.44,10.19,Con Tope Aplicado
18226742,202405,2,4,5,1,1,87.5,6.13,3.52,2.61,Con Tope Aplicado
68419074,202405,1,4,11,3,1,4.3,0.3,0.3,0.0,Dentro del Tope
55433342,202405,1,4,1,1,1,6.3,0.44,0.29,0.15,Con Tope Aplicado
32285758,202405,1,4,1,3,1,53.2,3.72,2.6,1.12,Con Tope Aplicado
86035231,202405,1,4,16,2,1,147.4,10.32,10.32,0.0,Dentro del Tope
14281206,202405,4,4,14,4,1,937.7,65.64,10.88,54.76,Con Tope Aplicado
93403458,202405,1,4,3,1,2,182.7,12.79,10.09,2.7,Con Tope Aplicado
52490712,202405,1,4,11,2,1,63.9,4.47,3.48,1.0,Con Tope Aplicado
95701203,202405,1,4,3,3,1,95.2,6.66,6.66,0.0,Dentro del Tope
91269394,202405,3,4,1,2,1,180.6,12.64,3.56,9.08,Con Tope Aplicado
95914160,202405,4,4,3,4,1,887.2,62.1,5.98,56.12,Con Tope Aplicado
87318032,202405,3,4,5,2,1,165.0,11.55,5.57,5.98,Con Tope Aplicado
87769244,202405,2,4,11,9,1,86.8,6.08,3.76,2.32,Con Tope Aplicado
35442876,202405,3,4,1,2,1,217.5,15.23,3.62,11.61,Con Tope Aplicado
58125159,202405,2,4,11,4,1,113.1,7.92,7.55,0.37,Con Tope Aplicado
61621827,202405,4,4,5,15,1,648.4,45.39,5.46,39.92,Con Tope Aplicado
27391158,202405,1,4,1,5,1,83.4,5.84,3.84,2.0,Con Tope Aplicado
18344936,202405,2,4,3,3,1,84.4,5.91,4.55,1.36,Con Tope Aplicado
60407772,202405,1,4,13,1,1,81.9,5.73,5.73,0.0,Dentro del Tope
10149659,202405,2,4,1,1,2,73.4,5.14,2.08,3.06,Con Tope Aplicado
43220117,202405,2,4,17,1,1,130.1,9.11,6.47,2.64,Con Tope Aplicado
22717586,202405,2,4,15,3,1,52.8,3.7,2.75,0.95,Con Tope Aplicado
12227429,202405,2,4,3,1,1,53.1,3.72,2.67,1.05,Con Tope Aplicado
41124410,202405,1,4,3,4,1,56.8,3.98,3.98,0.0,Dentro del Tope
87365006,202405,4,4,11,7,1,1346.8,94.28,13.99,80.29,Con Tope Aplicado
51661858,202405,1,4,16,5,1,14.8,1.04,1.04,0.0,Dentro del Tope
85492148,202405,3,4,3,5,2,865.7,60.6,13.13,47.47,Con Tope Aplicado
63841911,202405,1,4,11,6,2,58.0,4.06,2.73,1.33,Con Tope Aplicado
69249624,202405,3,4,1,7,1,143.4,10.04,3.8,6.23,Con Tope Aplicado
99617488,202405,2,4,8,2,1,167.2,11.7,5.46,6.24,Con Tope Aplicado
85360777,202405,2,4,11,2,1,72.1,5.05,3.25,1.8,Con Tope Aplicado
17798498,202405,4,4,3,14,1,745.4,52.18,4.64,47.54,Con Tope Aplicado
78441441,202405,1,4,3,11,1,248.5,17.4,16.5,0.89,Con Tope Aplicado
39590254,202405,2,4,10,3,1,111.8,7.83,3.94,3.89,Con Tope Aplicado
20678705,202405,4,4,1,3,2,2137.0,149.59,19.12,130.47,Con Tope Aplicado
52351030,202405,1,4,1,7,1,64.7,4.53,2.57,1.95,Con Tope Aplicado
96475107,202405,2,4,3,3,2,328.4,22.99,17.12,5.87,Con Tope Aplicado
52118434,202405,2,4,3,1,2,554.0,38.78,14.77,24.01,Con Tope Aplicado
34245112,202405,1,4,2,1,1,42.2,2.95,2.49,0.46,Con Tope Aplicado
55612133,202405,1,4,7,1,1,70.2,4.91,4.91,0.0,Dentro del Tope
47692777,202405,1,4,3,1,1,58.2,4.07,4.07,0.0,Dentro del Tope
13657639,202405,1,4,3,3,1,16.7,1.17,1.17,0.0,Dentro del Tope
41124410,202405,1,4,15,6,1,37.6,2.63,2.63,0.0,Dentro del Tope
31983451,202405,3,4,11,2,1,705.6,49.39,14.41,34.98,Con Tope Aplicado
20081764,202405,3,4,7,1,1,335.8,23.51,11.81,11.7,Con Tope Aplicado
96890780,202405,1,4,11,4,1,68.0,4.76,4.76,0.0,Dentro del Tope
15317489,202405,3,4,9,4,1,59.1,4.14,2.74,1.4,Con Tope Aplicado
85828397,202405,1,4,5,3,1,78.4,5.49,4.28,1.21,Con Tope Aplicado
46938857,202405,1,4,5,2,1,12.3,0.86,0.86,0.0,Dentro del Tope
16119097,202405,3,4,7,5,1,47.6,3.33,0.69,2.64,Con Tope Aplicado
21868307,202405,1,4,10,1,1,128.5,9.0,5.5,3.5,Con Tope Aplicado
37733222,202405,1,4,13,12,1,55.0,3.85,3.85,0.0,Dentro del Tope
91298902,202405,1,4,3,12,1,160.2,11.21,11.22,0.0,Dentro del Tope
74537316,202405,2,4,7,5,1,127.1,8.9,5.95,2.94,Con Tope Aplicado
73971697,202405,3,4,1,2,1,150.4,10.53,8.41,2.12,Con Tope Aplicado
89823117,202405,3,4,11,2,1,353.5,24.75,6.88,17.86,Con Tope Aplicado
17720615,202405,5,4,11,8,1,198.6,13.9,1.73,12.17,Con Tope Aplicado
14567230,202405,1,4,5,6,1,26.2,1.83,1.83,0.0,Dentro del Tope
87175973,202405,1,4,11,3,1,67.5,4.73,4.73,0.0,Dentro del Tope
88521331,202405,2,4,5,1,1,115.0,8.05,4.93,3.12,Con Tope Aplicado
83522703,202405,2,4,13,11,1,151.9,10.63,9.27,1.36,Con Tope Aplicado
99013620,202405,2,4,9,1,1,153.9,10.77,5.58,5.19,Con Tope Aplicado
59390833,202405,2,4,3,1,1,236.1,16.53,16.53,0.0,Dentro del Tope
41465489,202405,3,4,11,4,1,240.1,16.81,4.31,12.5,Con Tope Aplicado
25910047,202405,1,4,13,2,1,118.7,8.31,8.31,0.0,Dentro del Tope
82320887,202405,2,4,16,1,1,229.7,16.08,10.73,5.35,Con Tope Aplicado
44477140,202405,1,4,13,3,1,58.9,4.12,4.12,0.0,Dentro del Tope
87730521,202405,1,4,1,5,1,147.9,10.35,10.35,0.0,Dentro del Tope
81963266,202405,1,4,5,1,1,159.9,11.19,11.19,0.0,Dentro del Tope
45718961,202405,3,4,5,4,1,114.6,8.02,3.49,4.54,Con Tope Aplicado
91796858,202405,1,4,5,1,1,60.1,4.21,3.21,1.0,Con Tope Aplicado
17736261,202405,3,4,1,3,1,335.3,23.47,14.99,8.48,Con Tope Aplicado
75566692,202405,2,4,6,3,1,21.8,1.53,0.85,0.68,Con Tope Aplicado
79528737,202405,3,4,11,9,1,17.9,1.25,0.88,0.38,Con Tope Aplicado
29305211,202405,3,4,1,8,1,379.1,26.54,9.4,17.14,Con Tope Aplicado
77325064,202405,3,4,5,3,1,345.7,24.2,11.11,13.09,Con Tope Aplicado
67983924,202405,3,4,7,4,1,103.3,7.23,1.19,6.04,Con Tope Aplicado
38834411,202405,1,4,7,1,2,128.8,9.02,6.96,2.06,Con Tope Aplicado
90464356,202405,2,4,3,2,1,30.4,2.13,2.13,0.0,Dentro del Tope
74627511,202405,2,4,15,1,1,312.1,21.85,9.31,12.54,Con Tope Aplicado
61092797,202405,1,4,5,1,2,274.3,19.2,19.2,0.0,Dentro del Tope
27927439,202405,1,4,15,14,1,27.1,1.9,1.9,0.0,Dentro del Tope
89046200,202405,3,4,1,19,1,35.4,2.48,0.86,1.62,Con Tope Aplicado
59986343,202405,3,4,3,4,2,822.0,57.54,15.55,41.99,Con Tope Aplicado
70838108,202405,5,4,1,6,1,1166.5,81.66,7.55,74.1,Con Tope Aplicado
45417235,202405,2,4,3,9,1,89.4,6.26,4.65,1.61,Con Tope Aplicado
81986613,202405,1,4,17,6,1,38.1,2.67,2.67,0.0,Dentro del Tope
30691645,202405,2,4,11,12,1,154.8,10.84,3.06,7.77,Con Tope Aplicado
94242853,202405,3,4,5,11,1,430.6,30.14,7.58,22.56,Con Tope Aplicado
86663470,202405,1,4,16,3,1,38.7,2.71,2.71,0.0,Dentro del Tope
55356960,202405,1,4,1,3,1,77.8,5.45,5.45,0.0,Dentro del Tope
98379140,202405,4,4,13,6,1,344.9,24.14,3.26,20.88,Con Tope Aplicado
73502444,202405,1,4,15,7,1,31.9,2.23,2.23,0.0,Dentro del Tope
55789093,202405,2,4,3,1,1,128.0,8.96,5.34,3.62,Con Tope Aplicado
57481709,202405,1,4,15,7,1,127.0,8.89,7.06,1.83,Con Tope Aplicado
12947085,202405,1,4,15,7,1,95.8,6.71,6.71,0.0,Dentro del Tope
68115170,202405,2,4,3,11,2,394.6,27.62,27.62,0.0,Dentro del Tope
71661134,202405,1,4,13,9,1,72.0,5.04,4.99,0.05,Con Tope Aplicado
79234035,202405,4,4,11,1,1,183.8,12.87,1.46,11.41,Con Tope Aplicado
10158677,202405,2,4,5,11,1,193.7,13.56,5.34,8.22,Con Tope Aplicado
72195413,202405,1,4,1,10,1,28.2,1.97,1.97,0.0,Dentro del Tope
92442297,202405,3,4,11,1,1,52.0,3.64,1.06,2.58,Con Tope Aplicado
23244877,202405,1,4,1,9,1,61.3,4.29,4.29,0.0,Dentro del Tope
11365019,202405,1,4,11,10,1,27.4,1.92,1.89,0.03,Con Tope Aplicado
44692103,202405,1,4,12,1,1,117.5,8.23,7.25,0.98,Con Tope Aplicado
19938963,202405,2,4,3,1,1,49.9,3.49,1.45,2.05,Con Tope Aplicado
67455017,202405,5,4,3,2,1,623.3,43.63,4.92,38.71,Con Tope Aplicado
71440239,202405,1,4,5,2,1,156.2,10.93,10.33,0.61,Con Tope Aplicado
67983924,202405,3,4,5,1,1,352.1,24.65,4.04,20.6,Con Tope Aplicado
73088146,202405,3,4,5,3,1,270.2,18.91,7.75,11.16,Con Tope Aplicado
84714098,202405,1,4,11,4,1,23.2,1.62,1.62,0.0,Dentro del Tope
15402282,202405,4,4,1,4,1,1240.7,86.85,7.07,79.78,Con Tope Aplicado
52457335,202405,2,4,11,2,1,22.1,1.55,1.51,0.04,Con Tope Aplicado
60091218,202405,2,4,15,5,1,63.4,4.44,1.43,3.01,Con Tope Aplicado
32622982,202405,4,4,15,5,1,180.3,12.62,1.04,11.58,Con Tope Aplicado
72458724,202405,2,4,3,4,1,335.1,23.46,7.14,16.31,Con Tope Aplicado
77678771,202405,1,4,7,3,1,132.0,9.24,8.28,0.96,Con Tope Aplicado
26083875,202405,2,4,1,2,1,286.1,20.03,12.47,7.56,Con Tope Aplicado
85319752,202405,1,4,13,4,2,54.7,3.83,3.83,0.0,Dentro del Tope
83298513,202405,1,4,3,3,1,28.7,2.01,2.01,0.0,Dentro del Tope
35550497,202405,2,4,3,6,2,683.7,47.86,17.8,30.06,Con Tope Aplicado
20653524,202405,2,4,11,1,2,517.0,36.19,24.93,11.26,Con Tope Aplicado
57957494,202405,4,4,5,3,1,912.2,63.85,7.95,55.9,Con Tope Aplicado
96946382,202405,4,4,11,1,2,1071.5,75.01,7.49,67.52,Con Tope Aplicado
29518650,202405,1,4,7,4,1,135.3,9.47,6.48,2.99,Con Tope Aplicado
19790947,202405,3,4,7,2,1,334.6,23.42,9.49,13.93,Con Tope Aplicado
75659011,202405,1,4,1,2,2,183.0,12.81,12.63,0.18,Con Tope Aplicado
33033115,202405,2,4,7,7,1,189.6,13.27,7.24,6.03,Con Tope Aplicado
96097753,202405,2,4,11,6,2,282.1,19.75,15.17,4.58,Con Tope Aplicado
94463206,202405,2,4,1,1,1,149.5,10.47,4.72,5.75,Con Tope Aplicado
33530280,202405,2,4,7,3,1,195.8,13.71,11.22,2.49,Con Tope Aplicado
34095881,202405,3,4,3,10,1,439.6,30.77,9.66,21.11,Con Tope Aplicado
42672766,202405,2,4,1,8,1,135.9,9.51,8.1,1.42,Con Tope Aplicado
24290635,202405,2,4,15,1,1,66.5,4.66,3.21,1.45,Con Tope Aplicado
56131916,202405,2,4,3,2,1,156.7,10.97,3.53,7.44,Con Tope Aplicado
68525406,202405,1,4,11,5,1,127.9,8.95,7.71,1.24,Con Tope Aplicado
16247361,202405,4,4,3,5,1,97.2,6.8,0.65,6.15,Con Tope Aplicado
94900909,202405,3,4,3,6,1,50.8,3.56,0.82,2.74,Con Tope Aplicado
81986613,202405,1,4,3,5,1,34.3,2.4,2.4,0.0,Dentro del Tope
24182460,202405,2,4,11,4,1,292.2,20.45,9.64,10.81,Con Tope Aplicado
55202766,202405,2,4,7,2,1,233.9,16.37,7.92,8.45,Con Tope Aplicado
63899434,202405,2,4,17,1,1,160.7,11.25,5.54,5.71,Con Tope Aplicado
71494804,202405,2,4,3,4,1,86.9,6.08,5.45,0.63,Con Tope Aplicado
77907621,202405,2,4,1,1,2,540.4,37.83,21.58,16.25,Con Tope Aplicado
46540513,202405,2,4,3,7,1,37.9,2.65,2.65,0.0,Dentro del Tope
88875925,202405,2,4,1,10,2,273.0,19.11,9.59,9.52,Con Tope Aplicado
93395534,202405,1,4,2,12,1,76.9,5.38,5.38,0.0,Dentro del Tope
40178906,202405,2,4,3,11,1,35.0,2.45,1.3,1.15,Con Tope Aplicado
46604105,202405,1,4,9,1,1,134.6,9.42,6.34,3.08,Con Tope Aplicado
85797047,202405,2,4,8,5,1,127.0,8.89,5.51,3.38,Con Tope Aplicado
96890780,202405,1,4,2,1,1,106.1,7.43,7.43,0.0,Dentro del Tope
44030706,202405,2,4,14,2,1,290.0,20.3,11.99,8.3,Con Tope Aplicado
32952899,202405,1,4,3,4,1,39.8,2.79,2.79,0.0,Dentro del Tope
86938994,202405,1,4,3,4,1,84.2,5.89,5.89,0.0,Dentro del Tope
28699507,202405,4,4,1,2,2,1938.9,135.72,11.37,124.35,Con Tope Aplicado
63046735,202405,2,4,15,8,1,183.3,12.83,8.0,4.83,Con Tope Aplicado
50483244,202405,1,4,7,8,1,122.7,8.59,8.59,0.0,Dentro del Tope
16489420,202405,1,4,1,3,2,54.4,3.81,3.81,0.0,Dentro del Tope
81673617,202405,1,4,11,3,1,15.9,1.11,1.11,0.0,Dentro del Tope
50350439,202405,3,4,11,2,1,289.0,20.23,20.23,0.0,Con Tope Aplicado
63526366,202405,1,4,3,4,1,63.2,4.42,3.11,1.32,Con Tope Aplicado
23836138,202405,2,4,13,5,1,27.4,1.92,0.66,1.26,Con Tope Aplicado
75573773,202405,4,4,14,2,1,1387.6,97.13,8.75,88.38,Con Tope Aplicado
30623167,202405,1,4,11,1,1,27.5,1.93,1.92,0.0,Dentro del Tope
69779153,202405,4,4,13,11,1,1264.2,88.49,8.19,80.3,Con Tope Aplicado
75541516,202405,2,4,11,13,1,105.4,7.38,5.15,2.23,Con Tope Aplicado
88875925,202405,2,4,9,1,1,179.1,12.54,6.29,6.25,Con Tope Aplicado
45398704,202405,3,4,7,3,1,160.5,11.24,1.94,9.29,Con Tope Aplicado
40401656,202405,3,4,7,11,1,211.7,14.82,4.77,10.05,Con Tope Aplicado
40178906,202405,2,4,15,1,1,421.2,29.48,15.66,13.83,Con Tope Aplicado
36168916,202405,4,4,1,4,1,283.8,19.87,2.79,17.08,Con Tope Aplicado
13117024,202405,1,4,7,2,1,48.0,3.36,1.74,1.62,Con Tope Aplicado
98384961,202405,3,4,11,7,1,402.9,28.2,8.03,20.17,Con Tope Aplicado
10781172,202405,3,4,7,8,1,128.9,9.02,7.73,1.29,Con Tope Aplicado
32285758,202405,1,4,3,3,1,155.0,10.85,7.58,3.27,Con Tope Aplicado
92552362,202405,1,4,5,5,1,45.2,3.16,3.16,0.0,Dentro del Tope
71447153,202405,2,4,11,7,2,178.9,12.52,6.65,5.87,Con Tope Aplicado
56169376,202405,2,4,15,4,1,133.8,9.37,7.31,2.06,Con Tope Aplicado
75879016,202405,4,4,16,8,1,880.7,61.65,13.05,48.6,Con Tope Aplicado
95521817,202405,5,4,1,2,1,435.7,30.5,4.54,25.95,Con Tope Aplicado
